"LIME" "CPATH" "CPATH_min"
"1" 1 1 0.4
"2" 0.8 0.8 1
"3" 1 1 0.6
"4" 1 0.8 0.4
"5" 0.8 0.2 0.4
"6" 0.8 0.8 0.632455532033676
"7" 0.8 0.2 0.2
"8" 0.8 0.316227766016838 0.2
"9" 0.8 0.8 0.8
"10" 1 1 1
"11" 0.8 1 0.8
"12" 0.8 0.8 0.4
"13" 0.8 0.8 0.8
"14" 0.8 0.8 0.8
"15" 0.8 0.8 0.8
"16" 0.8 1 0.4
"17" 0.8 0.4 0.8
"18" 1 0.8 0.8
"19" 0.8 0.8 0.8
"20" 0.6 0.6 0.8
"21" 0.8 0.4 0.4
"22" 0.8 0.2 0.4
"23" 0.8 0.8 0.4
"24" 0.8 1 1
"25" 0.8 0.8 0.8
"26" 0.8 0.4 0.2
"27" 0.8 0.4 1
"28" 0.8 0.2 0.8
"29" 0.8 0.8 0.8
"30" 0.8 1 1
