"GINI" "CPATH" "SHAP" "LIME" "CPI"
"1" 1 0.5 1 1 0.5
"2" 1 1 1 1 0.5
"3" 1 1 0.5 0.5 0.5
"4" 0.5 0.5 0.5 0.5 0.5
"5" 0.5 0.5 0.5 0.5 0.5
"6" 1 1 0.5 0.5 0.5
"7" 1 1 1 1 0.5
"8" 1 0.5 0.5 0.5 0.5
"9" 1 1 0.5 1 0.5
"10" 1 1 1 1 0.5
"11" 0.5 1 0.5 0.5 0.5
"12" 1 1 0.5 0.5 0.5
"13" 1 0.5 0.5 0.5 0.5
"14" 0.5 0.5 0.5 0.5 1
"15" 0.5 0.5 0.5 0.5 0.5
"16" 1 0.5 0.5 0.5 0.5
"17" 1 1 0.5 0.5 0.5
"18" 0.5 0.5 0.5 0.5 1
"19" 1 0.5 1 0.5 0.5
"20" 0.5 0.5 0.5 0.5 0.5
"21" 1 0.5 0.5 0.5 0.5
"22" 1 1 0.5 0.5 0.5
"23" 0.5 0.5 0.5 0.5 0.5
"24" 1 0.5 0.5 0.5 0.5
"25" 1 1 0.5 0.5 0.5
"26" 1 0.5 0.5 0.5 0.5
"27" 0.5 0.5 0.5 0.5 0.5
"28" 1 1 0.5 1 0.5
"29" 0.5 0.5 0.5 0.5 0.5
"30" 1 1 0.5 0.5 0.5
"31" 1 1 1 1 0.5
"32" 1 0.5 0.5 0.5 0.5
"33" 0.5 0.5 0.5 0.5 0.5
"34" 0.5 0.5 0.5 0.5 0.5
"35" 1 0.5 0.5 0.5 0.5
"36" 1 0.5 0.5 0.5 0.5
"37" 1 1 1 0.5 0.5
"38" 0.5 0.5 0.5 0.5 0.5
"39" 0.5 0.5 0.5 0.5 0.5
"40" 1 1 0.5 0.5 0.5
"41" 0.5 0.5 0.5 0.5 0.5
"42" 1 1 1 0.5 0.5
"43" 0.5 0.5 0.5 0.5 0.5
"44" 0.5 0.5 0.5 0.5 0.5
"45" 0.5 0.5 0.5 0.5 0.5
"46" 1 1 0.5 0.5 0.5
"47" 1 0.5 0.5 0.5 0.5
"48" 1 0.5 0.5 0.5 0.5
"49" 1 1 1 0.5 0.5
"50" 0.5 1 0.5 0.5 0.5
"51" 0.5 0.5 0.5 0.5 0.5
"52" 1 1 0.5 1 0.5
"53" 0.5 0.5 0.5 0.5 0.5
"54" 1 0.5 1 1 0.5
"55" 1 0.5 0.5 0.5 0.5
"56" 0.5 0.5 0.5 0.5 0.5
"57" 1 0.5 0.5 0.5 0.5
"58" 1 1 1 1 0.5
"59" 1 1 1 1 0.5
"60" 1 1 1 1 0.5
"61" 0.5 0.5 0.5 0.5 0.5
"62" 1 1 1 1 0.5
"63" 1 1 0.5 0.5 1
"64" 1 1 1 1 0.5
"65" 1 1 0.5 0.5 0.5
"66" 0.5 0.5 0.5 0.5 0.5
"67" 1 1 0.5 0.5 0.5
"68" 1 0.5 0.5 0.5 0.5
"69" 1 0.5 0.5 0.5 0.5
"70" 1 1 1 1 0.5
"71" 1 1 0.5 0.5 0.5
"72" 1 0.5 1 0.5 0.5
"73" 0.5 1 0.5 0.5 0.5
"74" 0.5 0.5 0.5 0.5 0.5
"75" 0.5 0.5 0.5 0.5 0.5
"76" 0.5 0.5 0.5 0.5 0.5
"77" 0.5 0.5 0.5 0.5 0.5
"78" 1 1 0.5 0.5 0.5
"79" 1 0.5 0.5 0.5 0.5
"80" 0.5 0.5 0.5 0.5 0.5
"81" 0.5 0.5 0.5 0.5 0.5
"82" 0.5 1 0.5 0.5 0.5
"83" 1 1 1 1 0.5
"84" 1 0.5 0.5 0.5 0.5
"85" 1 1 1 0.5 0.5
"86" 1 1 0.5 0.5 0.5
"87" 1 0.5 0.5 0.5 0.5
"88" 1 0.5 0.5 0.5 0.5
"89" 1 1 0.5 0.5 0.5
"90" 1 1 0.5 0.5 1
"91" 1 0.5 1 1 0.5
"92" 0.5 1 0.5 1 0.5
"93" 1 1 0.5 0.5 0.5
"94" 1 1 1 0.5 0.5
"95" 0.5 0.5 0.5 0.5 0.5
"96" 0.5 0.5 0.5 0.5 0.5
"97" 1 0.5 1 1 0.5
"98" 0.5 0.5 0.5 0.5 0.5
"99" 0.5 0.5 0.5 0.5 0.5
"100" 1 1 1 1 0.5
