"CPATH" "SHAP" "LIME" "CPI"
"1" 1 1 1 NA
"2" 0.8 1 0.4 NA
"3" 0.8 1 0.2 NA
"4" 0.8 0.8 0.2 NA
"5" 0.8 0.4 0.8 NA
"6" 0.8 1 1 NA
"7" 0.8 1 0.8 NA
"8" 0.8 1 0.2 NA
"9" 1 1 0.4 NA
"10" 1 1 0.8 NA
"11" 0.8 0.8 1 NA
"12" 1 1 0.8 NA
"13" 0.8 1 1 NA
"14" 1 1 0.8 NA
"15" 1 1 1 NA
"16" 0.4 0.8 0.4 NA
"17" 1 1 0.8 NA
"18" 0.8 1 0.4 NA
"19" 1 1 1 NA
"20" 1 1 0.8 NA
"21" 1 1 0.8 NA
"22" 1 0.8 0.8 NA
"23" 1 1 1 NA
"24" 0.8 0.8 0.4 NA
"25" 0.8 1 0.8 NA
"26" 1 1 0.8 NA
"27" 1 1 1 NA
"28" 1 0.8 0.4 NA
"29" 1 1 0.8 NA
"30" 0.8 1 0.8 NA
"31" 0.8 0.4 0.4 NA
"32" 1 1 1 NA
"33" 1 1 0.4 NA
"34" 1 0.8 1 NA
"35" 0.8 0.4 0.2 NA
"36" 1 1 1 NA
"37" 1 0.8 0.4 NA
"38" 0.8 0.8 0.8 NA
"39" 0.8 0.8 0.8 NA
"40" 1 1 0.4 NA
"41" 0.8 1 1 NA
"42" 0.8 0.8 0.8 NA
"43" 0.8 0.8 0.8 NA
"44" 1 0.4 0.8 NA
"45" 0.8 0.8 0.8 NA
"46" 0.8 0.8 1 NA
"47" 0.8 0.4 0.4 NA
"48" 0.8 0.8 0.8 NA
"49" 1 1 1 NA
"50" 0.8 1 1 NA
"51" 1 1 0.8 NA
"52" 1 0.8 0.4 NA
"53" 1 0.8 1 NA
"54" 0.8 0.8 1 NA
"55" 1 0.8 1 NA
"56" 1 0.8 0.8 NA
"57" 1 1 0.8 NA
"58" 1 0.8 0.4 NA
"59" 0.8 1 0.2 NA
"60" 0.8 1 0.8 NA
"61" 1 1 0.8 NA
"62" 0.4 0.2 0.4 NA
"63" 0.8 0.8 0.8 NA
"64" 1 1 1 NA
"65" 1 0.8 1 NA
"66" 0.8 1 0.2 NA
"67" 1 0.8 1 NA
"68" 1 0.8 0.8 NA
"69" 0.8 1 0.2 NA
"70" 1 1 1 NA
"71" 0.8 1 0.4 NA
"72" 0.8 0.6 0.8 NA
"73" 0.8 0.8 0.8 NA
"74" 1 1 1 NA
"75" 1 0.8 0.8 NA
"76" 1 0.8 0.4 NA
"77" 1 1 1 NA
"78" 1 1 0.4 NA
"79" 0.8 1 0.8 NA
"80" 1 1 0.8 NA
"81" 1 0.8 1 NA
"82" 0.8 1 0.2 NA
"83" 1 1 1 NA
"84" 0.8 0.8 1 NA
"85" 0.8 1 0.8 NA
"86" 0.8 0.8 0.4 NA
"87" 0.8 1 0.6 NA
"88" 1 0.8 0.8 NA
"89" 1 1 0.8 NA
"90" 1 1 0.8 NA
"91" 1 1 0.8 NA
"92" 0.6 0.6 0.8 NA
"93" 1 1 0.8 NA
"94" 0.8 1 0.4 NA
"95" 1 1 0.4 NA
"96" 0.8 1 1 NA
"97" 1 1 1 NA
"98" 0.8 1 0.8 NA
"99" 1 0.8 0.4 NA
"100" 0.8 1 0.8 NA
