"spearman" "pearson" "kendall"
"1" 1 0.999509839680196 1
"2" 1 0.998092396673273 1
"3" 0.6 0.672201784339056 0.333333333333333
"4" 0.8 0.95924167222827 0.666666666666667
"5" 0.8 0.988930384745981 0.666666666666667
"6" 1 0.99912121762895 1
"7" 0.8 0.946078774783321 0.666666666666667
"8" 1 0.996266916856498 1
"9" 0.8 0.985157304661012 0.666666666666667
"10" 1 0.997769617719267 1
"11" 1 0.998366823190643 1
"12" 1 0.959503875584613 1
"13" 0.8 0.997843153035893 0.666666666666667
"14" 0.8 0.841954550845319 0.666666666666667
"15" 0.8 0.981363827720516 0.666666666666667
"16" 1 0.999874747872343 1
"17" 0.8 0.988568147904391 0.666666666666667
"18" 0.8 0.998312437705731 0.666666666666667
"19" 1 0.980036359323123 1
"20" 1 0.988926796370368 1
"21" 1 0.987222402197015 1
"22" 1 0.978359135099688 1
"23" 0.8 0.770883727230368 0.666666666666667
"24" 0.8 0.985388531822738 0.666666666666667
"25" 1 0.987214671453904 1
"26" 0.8 0.998713438563416 0.666666666666667
"27" 0.8 0.989439011522086 0.666666666666667
"28" 0.8 0.959492946768863 0.666666666666667
"29" 0.8 0.977439222297749 0.666666666666667
"30" 1 0.995873753042719 1
