"4" "6" "8" "10" "12"
"1" 1 0.5 0.5 1 0.5
"2" 1 0.5 1 0.5 0.5
"3" 0.5 1 0.5 1 1
"4" 1 0.5 0.5 0.5 1
"5" 1 0.5 1 0.5 0.5
"6" 1 0.5 0.5 0.5 0
"7" 0.5 1 0 1 1
"8" 1 0.5 0.5 0.5 0
"9" 1 1 1 0.5 1
"10" 0 1 0.5 1 1
"11" 1 0 0.5 1 0.5
"12" 1 1 0.5 1 0.5
"13" 1 1 0.5 0.5 1
"14" 0.5 0 0.5 0.5 0.5
"15" 0.5 0.5 0.5 0 0.5
"16" 1 0.5 0.5 0.5 1
"17" 0.5 1 0 0.5 0.5
"18" 1 1 0.5 0.5 0.5
"19" 1 1 0.5 0.5 1
"20" 1 0.5 1 0.5 0
"21" 0.5 0.5 1 1 1
"22" 0.5 0.5 1 1 0.5
"23" 1 0.5 1 0.5 1
"24" 1 1 0.5 0.5 0.5
"25" 1 1 1 0.5 1
"26" 0.5 0.5 0 1 1
"27" 0.5 1 1 1 0.5
"28" 1 0.5 1 0 0.5
"29" 1 1 0.5 0 1
"30" 1 1 0.5 0.5 1
"31" 0.5 0.5 0.5 1 0.5
"32" 0.5 0.5 0.5 1 0.5
"33" 0.5 1 0.5 0.5 0
"34" 1 1 1 1 0
"35" 1 0.5 1 0.5 0.5
"36" 1 1 0.5 0.5 0.5
"37" 0.5 0.5 0.5 0.5 0.5
"38" 0 1 0.5 0.5 0.5
"39" 0.5 0.5 0.5 1 1
"40" 0.5 1 0.5 1 0
"41" 1 1 0 0.5 1
"42" 0.5 0.5 0.5 0.5 0.5
"43" 1 0.5 0.5 0.5 1
"44" 1 0.5 0 0.5 0.5
"45" 1 0.5 1 1 0
"46" 1 1 0.5 0 1
"47" 0.5 0.5 1 0.5 0.5
"48" 0.5 1 1 1 0.5
"49" 1 0.5 0.5 1 0.5
"50" 0.5 0 0.5 1 1
