"4" "6" "8" "10" "12"
"1" 1 1 0.5 1 1
"2" 1 1 0.5 1 1
"3" 1 1 1 0.5 1
"4" 1 1 1 1 1
"5" 1 1 0.5 1 1
"6" 1 1 0.5 1 1
"7" 1 0.5 0.5 1 0.5
"8" 1 0.5 1 1 1
"9" 1 1 1 1 1
"10" 1 0.5 1 0.5 0.5
"11" 1 1 1 1 1
"12" 1 1 1 1 1
"13" 1 0.5 1 1 1
"14" 1 0.5 1 1 1
"15" 1 0.5 0.5 0.5 0.5
"16" 1 0.5 1 0.5 0.5
"17" 1 1 1 0.5 0.5
"18" 1 1 1 1 1
"19" 0.5 1 0.5 1 1
"20" 1 1 0.5 1 0.5
"21" 1 1 0.5 1 0.5
"22" 1 1 1 1 1
"23" 1 1 1 1 0.5
"24" 1 1 1 1 0.5
"25" 1 1 0.5 1 1
"26" 1 1 0.5 1 1
"27" 0.5 1 1 1 0.5
"28" 1 0.5 1 1 1
"29" 1 1 0.5 0.5 0.5
"30" 1 0.5 1 1 1
"31" 1 0.5 1 1 0.5
"32" 1 1 0.5 1 0.5
"33" 1 0.5 1 1 1
"34" 1 1 1 1 1
"35" 0.5 1 1 1 0.5
"36" 1 1 0.5 0.5 0.5
"37" 1 1 1 0.5 1
"38" 1 0.5 0.5 1 1
"39" 1 1 1 0.5 1
"40" 1 0.5 1 1 0.5
"41" 1 1 1 1 0.5
"42" 1 1 0.5 1 0.5
"43" 0.5 1 1 1 0.5
"44" 1 1 0.5 1 0.5
"45" 1 1 1 1 1
"46" 1 0.5 0.5 1 1
"47" 1 1 1 1 1
"48" 1 1 1 1 0.5
"49" 1 1 1 1 1
"50" 1 0.5 1 0.5 1
