"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" 0.75 NA NA NA
"2" 0.766666666666667 NA NA NA
"3" 0.816666666666667 NA NA NA
"4" 0.833333333333333 NA NA NA
"5" 0.866666666666667 NA NA NA
"6" 0.85 NA NA NA
"7" 0.783333333333333 NA NA NA
"8" 0.816666666666667 NA NA NA
"9" 0.783333333333333 NA NA NA
"10" 0.783333333333333 NA NA NA
"11" 0.75 NA NA NA
"12" 0.816666666666667 NA NA NA
"13" 0.8 NA NA NA
"14" 0.85 NA NA NA
"15" 0.8 NA NA NA
"16" 0.766666666666667 NA NA NA
"17" 0.783333333333333 NA NA NA
"18" 0.816666666666667 NA NA NA
"19" 0.733333333333333 NA NA NA
"20" 0.85 NA NA NA
"21" 0.783333333333333 NA NA NA
"22" 0.733333333333333 NA NA NA
"23" 0.783333333333333 NA NA NA
"24" 0.766666666666667 NA NA NA
"25" 0.733333333333333 NA NA NA
"26" 0.8 NA NA NA
"27" 0.7 NA NA NA
"28" 0.7 NA NA NA
"29" 0.85 NA NA NA
"30" 0.75 NA NA NA
