"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" 0.976190476190476 NA NA NA
"2" 0.928571428571429 NA NA NA
"3" 0.928571428571429 NA NA NA
"4" 0.952380952380953 NA NA NA
"5" 0.928571428571429 NA NA NA
"6" 0.904761904761905 NA NA NA
"7" 0.857142857142857 NA NA NA
"8" 0.976190476190476 NA NA NA
"9" 0.928571428571429 NA NA NA
"10" 0.928571428571429 NA NA NA
"11" 0.976190476190476 NA NA NA
"12" 1 NA NA NA
"13" 0.904761904761905 NA NA NA
"14" 0.976190476190476 NA NA NA
"15" 0.857142857142857 NA NA NA
"16" 0.976190476190476 NA NA NA
"17" 1 NA NA NA
"18" 0.952380952380953 NA NA NA
"19" 0.904761904761905 NA NA NA
"20" 0.857142857142857 NA NA NA
"21" 0.952380952380953 NA NA NA
"22" 1 NA NA NA
"23" 0.976190476190476 NA NA NA
"24" 0.976190476190476 NA NA NA
"25" 0.952380952380953 NA NA NA
"26" 0.952380952380953 NA NA NA
"27" 0.952380952380953 NA NA NA
"28" 1 NA NA NA
"29" 0.976190476190476 NA NA NA
"30" 0.857142857142857 NA NA NA
