"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" 0.4 NA NA NA
"2" 1 NA NA NA
"3" 0.774596669241483 NA NA NA
"4" 1 NA NA NA
"5" 0.774596669241483 NA NA NA
"6" 0.8 NA NA NA
"7" 0.8 NA NA NA
"8" 0.774596669241483 NA NA NA
"9" 0.4 NA NA NA
"10" 0.8 NA NA NA
"11" 0.774596669241483 NA NA NA
"12" 0.8 NA NA NA
"13" 1 NA NA NA
"14" 0.774596669241483 NA NA NA
"15" 0.8 NA NA NA
"16" 0.8 NA NA NA
"17" 0.774596669241483 NA NA NA
"18" 0.8 NA NA NA
"19" 0.774596669241483 NA NA NA
"20" 0.774596669241483 NA NA NA
"21" 1 NA NA NA
"22" 1 NA NA NA
"23" 0.774596669241483 NA NA NA
"24" 1 NA NA NA
"25" 0.8 NA NA NA
"26" 1 NA NA NA
"27" 0.8 NA NA NA
"28" 0.8 NA NA NA
"29" 0.8 NA NA NA
"30" 1 NA NA NA
