"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" 1 0.8 1 0.8
"2" 1 0.8 0.8 0.8
"3" 1 0.8 1 0.2
"4" 0.4 0.8 1 0.8
"5" 0.774596669241483 0.8 0.8 0.8
"6" 0.774596669241483 1 0.4 0.8
"7" 1 0.8 1 0.8
"8" 0.8 0.8 0.8 0.8
"9" 0.774596669241483 0.8 0.8 0.8
"10" 1 0.8 0.4 1
"11" 0.774596669241483 1 0.8 1
"12" 1 1 1 0.2
"13" 0.8 0.8 0.8 0.8
"14" 0.8 0.8 0.4 0.8
"15" 0.774596669241483 0.8 0.8 0.4
"16" 0.4 0.8 0.4 0.8
"17" 1 1 1 0.6
"18" 1 0.8 0.8 0.8
"19" 1 1 0.8 0.6
"20" 0.774596669241483 0.8 0.8 0.2
"21" 0.774596669241483 0.8 0.2 0.8
"22" 1 0.8 0.8 0.2
"23" 0.774596669241483 1 0.8 0.8
"24" 0.8 0.8 0.8 0.8
"25" 0.8 0.8 0.8 0.8
"26" 0.774596669241483 1 0.4 0.8
"27" 0.8 0.8 1 0.8
"28" 1 0.8 0.632455532033676 0.4
"29" 1 1 0.8 0.4
"30" 0.774596669241483 0.8 0.2 0.2
