"10" "50" "100" "1000"
"1" 1 1 1 0
"2" 1 1 1 0.5
"3" 1 1 1 0
"4" 1 1 1 0
"5" 1 1 1 0
"6" 1 1 1 0
"7" 1 1 1 0.5
"8" 1 1 1 0.5
"9" 1 1 1 0.5
"10" 1 1 1 0.5
"11" 1 1 1 0.5
"12" 1 0.5 1 0.5
"13" 1 1 0.5 0
"14" 1 1 1 0.5
"15" 1 1 1 0.5
"16" 1 1 1 0.5
"17" 1 1 1 0.5
"18" 1 0.5 0.5 0.5
"19" 1 1 1 0.5
"20" 1 1 1 0
"21" 1 1 1 0.5
"22" 1 1 0.5 0.5
"23" 1 1 1 0.5
"24" 1 1 1 0
"25" 1 1 1 0
"26" 1 1 0.5 0
"27" 1 1 1 0
"28" 1 1 1 0.5
"29" 1 1 1 0
"30" 1 1 1 0
"31" 1 1 1 0
"32" 1 1 1 0.5
"33" 1 1 1 0.5
"34" 1 1 0.5 0.5
"35" 1 1 1 0.5
"36" 1 1 1 0
"37" 1 1 1 0
"38" 1 1 0.5 0.5
"39" 1 1 1 0.5
"40" 1 1 1 0.5
"41" 1 1 1 0
"42" 1 1 0.5 0
"43" 1 1 1 0
"44" 1 1 1 0.5
"45" 1 1 1 0
"46" 1 1 1 0
"47" 1 1 1 0
"48" 1 0.5 1 0.5
"49" 1 1 1 0
"50" 1 1 1 0
