"spearman" "pearson" "kendall"
"1" 0.6 0.96454586538993 0.333333333333333
"2" 1 0.965941569797251 1
"3" 0.8 0.674257156564511 0.666666666666667
"4" 1 0.98611317057077 1
"5" 0.8 0.895042173721698 0.666666666666667
"6" 0.8 0.970674236535143 0.666666666666667
"7" 1 0.996440721540708 1
"8" 1 0.980573996131613 1
"9" 1 0.997169145621866 1
"10" 1 0.998032229307489 1
"11" 0.8 0.953414500422547 0.666666666666667
"12" 1 0.968091870648967 1
"13" 0.8 0.834468309064387 0.666666666666667
"14" 1 0.961861847686376 1
"15" 0.6 0.966683077484476 0.333333333333333
"16" 0.8 0.960977200278107 0.666666666666667
"17" 1 0.940432147497466 1
"18" 1 0.972811264075264 1
"19" 1 0.99997139479533 1
"20" 0.6 0.948459337273329 0.333333333333333
"21" 0.8 0.953857844324082 0.666666666666667
"22" 1 0.999198057241236 1
"23" 1 0.976591034402541 1
"24" 0.6 0.935090691962889 0.333333333333333
"25" 1 0.980749192047976 1
"26" 1 0.940780791491351 1
"27" 1 0.942124362655546 1
"28" 1 0.98012268922584 1
"29" 1 0.989609105115543 1
"30" 1 0.991564564445379 1
