"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" NA NA 0.781269641734758 NA
"2" NA NA 0.84841628959276 NA
"3" NA NA 0.847850678733032 NA
"4" NA NA 0.848277174947649 NA
"5" NA NA 0.840988779803647 NA
"6" NA NA 0.769536687214158 NA
"7" NA NA 0.804688877137317 NA
"8" NA NA 0.824890670553936 NA
"9" NA NA 0.824742268041237 NA
"10" NA NA 0.855921855921856 NA
"11" NA NA 0.784047748236571 NA
"12" NA NA 0.883564139941691 NA
"13" NA NA 0.790409482758621 NA
"14" NA NA 0.81399416909621 NA
"15" NA NA 0.779277699859747 NA
"16" NA NA 0.73868778280543 NA
"17" NA NA 0.867277298850575 NA
"18" NA NA 0.836752899197145 NA
"19" NA NA 0.808823529411765 NA
"20" NA NA 0.798617597608817 NA
"21" NA NA 0.858782798833819 NA
"22" NA NA 0.818768533054247 NA
"23" NA NA 0.790069138906348 NA
"24" NA NA 0.866058906030856 NA
"25" NA NA 0.803819444444444 NA
"26" NA NA 0.763563677898344 NA
"27" NA NA 0.837856525496975 NA
"28" NA NA 0.839530721813482 NA
"29" NA NA 0.824742268041237 NA
"30" NA NA 0.813562488324304 NA
