"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" NA NA 0.4 NA
"2" NA NA 0.8 NA
"3" NA NA 1 NA
"4" NA NA 0.2 NA
"5" NA NA 0.4 NA
"6" NA NA 0.2 NA
"7" NA NA 0.2 NA
"8" NA NA 0.2 NA
"9" NA NA 0.4 NA
"10" NA NA 0.8 NA
"11" NA NA 0.2 NA
"12" NA NA 0.4 NA
"13" NA NA 0.8 NA
"14" NA NA 0.8 NA
"15" NA NA 0.8 NA
"16" NA NA 1 NA
"17" NA NA 1 NA
"18" NA NA 0.4 NA
"19" NA NA 1 NA
"20" NA NA 0.8 NA
"21" NA NA 0.2 NA
"22" NA NA 0.4 NA
"23" NA NA 0.8 NA
"24" NA NA 0.8 NA
"25" NA NA 1 NA
"26" NA NA 0.6 NA
"27" NA NA 0.8 NA
"28" NA NA 0.8 NA
"29" NA NA 0.6 NA
"30" NA NA 1 NA
