"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" 0.976190476190476 NA NA NA
"2" 0.976190476190476 NA NA NA
"3" 1 NA NA NA
"4" 0.976190476190476 NA NA NA
"5" 0.976190476190476 NA NA NA
"6" 0.904761904761905 NA NA NA
"7" 1 NA NA NA
"8" 0.976190476190476 NA NA NA
"9" 0.976190476190476 NA NA NA
"10" 0.952380952380953 NA NA NA
"11" 0.928571428571429 NA NA NA
"12" 0.880952380952381 NA NA NA
"13" 0.928571428571429 NA NA NA
"14" 0.976190476190476 NA NA NA
"15" 1 NA NA NA
"16" 0.976190476190476 NA NA NA
"17" 0.976190476190476 NA NA NA
"18" 1 NA NA NA
"19" 0.976190476190476 NA NA NA
"20" 1 NA NA NA
"21" 0.976190476190476 NA NA NA
"22" 0.976190476190476 NA NA NA
"23" 0.928571428571429 NA NA NA
"24" 1 NA NA NA
"25" 0.952380952380953 NA NA NA
"26" 0.976190476190476 NA NA NA
"27" 0.976190476190476 NA NA NA
"28" 1 NA NA NA
"29" 1 NA NA NA
"30" 0.976190476190476 NA NA NA
