"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" NA NA 0.883333333333333 NA
"2" NA NA 0.866666666666667 NA
"3" NA NA 0.883333333333333 NA
"4" NA NA 0.866666666666667 NA
"5" NA NA 0.983333333333333 NA
"6" NA NA 0.916666666666667 NA
"7" NA NA 0.933333333333333 NA
"8" NA NA 0.933333333333333 NA
"9" NA NA 0.916666666666667 NA
"10" NA NA 0.933333333333333 NA
"11" NA NA 0.9 NA
"12" NA NA 0.933333333333333 NA
"13" NA NA 0.916666666666667 NA
"14" NA NA 0.933333333333333 NA
"15" NA NA 0.883333333333333 NA
"16" NA NA 0.916666666666667 NA
"17" NA NA 0.916666666666667 NA
"18" NA NA 0.916666666666667 NA
"19" NA NA 0.833333333333333 NA
"20" NA NA 0.85 NA
"21" NA NA 0.783333333333333 NA
"22" NA NA 0.916666666666667 NA
"23" NA NA 0.916666666666667 NA
"24" NA NA 0.816666666666667 NA
"25" NA NA 0.916666666666667 NA
"26" NA NA 0.816666666666667 NA
"27" NA NA 0.933333333333333 NA
"28" NA NA 0.9 NA
"29" NA NA 0.833333333333333 NA
"30" NA NA 0.9 NA
