"SHAP_fast" "LIME" "CPATH" "CPATH_min"
"1" NA NA 0.904761904761905 NA
"2" NA NA 0.904761904761905 NA
"3" NA NA 0.952380952380953 NA
"4" NA NA 0.928571428571429 NA
"5" NA NA 0.976190476190476 NA
"6" NA NA 0.904761904761905 NA
"7" NA NA 0.976190476190476 NA
"8" NA NA 0.880952380952381 NA
"9" NA NA 0.976190476190476 NA
"10" NA NA 0.928571428571429 NA
"11" NA NA 0.904761904761905 NA
"12" NA NA 0.928571428571429 NA
"13" NA NA 0.904761904761905 NA
"14" NA NA 0.976190476190476 NA
"15" NA NA 0.928571428571429 NA
"16" NA NA 0.928571428571429 NA
"17" NA NA 0.880952380952381 NA
"18" NA NA 0.904761904761905 NA
"19" NA NA 0.952380952380953 NA
"20" NA NA 0.928571428571429 NA
"21" NA NA 1 NA
"22" NA NA 0.976190476190476 NA
"23" NA NA 1 NA
"24" NA NA 0.857142857142857 NA
"25" NA NA 0.857142857142857 NA
"26" NA NA 0.928571428571429 NA
"27" NA NA 0.833333333333333 NA
"28" NA NA 1 NA
"29" NA NA 0.952380952380953 NA
"30" NA NA 0.976190476190476 NA
